age;sex;sex_orient;educ;town;marital;sex_experience;children;diner;pos_aff;neg_aff;gender_st_plus;gender_st_minus;norms_male;avoiding_femin;dislike_lgbt;self_esteem_tech;firmness;dom_males;need_sex;limit_emotion;sexism_minus;sexism_plus;polit_orientation;feminism;fairness_system;loyality_system;ideal_system;anti_egal;dom;subm;conven;hard_purpose;codes_purpose;hard_accident;codes_accident;cope_confr_acc;cope_dist_acc;cope_control_acc;cope_support_acc;cope_respon_acc;cope_run_acc;cope_plan_acc;cope_value_acc;cope_confr_purp;cope_dist_purp;cope_control_purp;cope_support_purp;cope_respon_purp;cope_run_purp;cope_plan_purp;cope_value_purp
18;М;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;23;24;20;8;0;63;7;4;11;12;14;11;4;27;13;2;1;2;2;5;28;26;10;12;1;family;0;IQ;5;14;8;2;0;5;8;5;3;15;16;0;3;8;2;0
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;22;39;17;4;3;30;3;4;5;3;6;6;3;7;6;2;6;4;4;3;25;7;8;16;0;work;0;IQ;11;10;19;15;4;14;11;12;15;3;15;16;4;16;13;17
18;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;29;45;16;3;3;30;3;4;6;6;4;3;4;5;2;1;7;3;3;2;32;11;16;16;0;harass;1;danger;14;10;13;12;5;16;18;11;9;7;14;15;0;16;11;14
18;М;Гетеросексуал;Неоконченное высшее;Город с населением менее 100 тысяч человек;Не женаты/не замужем;Нет;нет;21;34;15;5;3;90;12;7;17;14;19;12;9;15;26;6;1;4;4;3;20;18;22;28;0;stereotype;0;activity;9;8;10;14;6;9;14;14;9;8;9;13;5;10;12;12
18;М;Гетеросексуал;Среднее специальное;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Нет;2 ребенка;27;33;25;0;6;99;12;13;18;15;13;16;12;21;21;4;4;6;6;4;35;12;18;27;0;betrayal;0;.000;7;8;14;13;8;11;10;10;4;9;16;13;8;9;9;10
18;М;Гетеросексуал;Среднее полное;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;24;41;12;2;4;61;10;15;7;6;4;5;14;11;2;7;5;7;7;7;23;17;15;17;1;.000;0;work;9;6;19;8;1;9;18;15;5;11;20;6;4;4;18;15
49;М;Гетеросексуал;Высшее;Москва или Санкт-Петербург;Женаты/замужем;Да;2 ребенка;29;44;13;1;4;66;10;18;10;10;6;6;6;6;14;6;6;7;7;7;10;7;12;20;1;work;0;.000;8;4;11;15;4;3;14;12;6;3;9;13;3;2;16;9
18;М;Гетеросексуал;Высшее;Город с населением от 500 тысяч до 1 млн человек;Не женаты/не замужем;Нет;нет;25;41;31;8;1;118;15;20;13;18;18;13;21;22;28;3;3;7;6;7;15;21;34;30;1;stereotype;0;danger;12;12;17;10;9;15;15;11;10;9;13;6;9;13;15;10
32;Ж;Гетеросексуал;Высшее;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Да;1 ребенок;24;40;11;3;3;31;3;4;6;9;3;3;3;6;11;3;4;4;4;4;35;5;15;19;0;betrayal;0;work;10;2;12;13;3;0;16;10;10;1;13;15;5;3;15;12
18;Ж;Гетеросексуал;Неоконченное высшее;Город с населением от 100 до 250 тысяч человек;Не женаты/не замужем;Нет;нет;27;29;15;6;2;21;3;3;3;3;3;3;3;12;7;3;5;4;4;4;27;5;12;13;0;harass;0;IQ;6;13;17;6;6;12;13;13;10;11;20;3;2;9;14;9
23;Ж;Бисексуал;Высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;24;28;31;4;0;34;3;3;7;9;5;4;3;2;4;2;7;1;1;1;13;9;10;10;0;stereotype;0;work;10;8;14;14;7;12;14;18;9;9;15;13;8;14;13;19
27;Ж;Гетеросексуал;Высшее;Город с населением от 100 до 250 тысяч человек;Женаты/замужем;Да;1 ребенок;27;27;16;2;5;35;10;3;9;4;3;3;3;4;4;1;5;1;2;1;35;6;7;8;1;education;0;work;10;5;14;15;8;12;17;13;9;5;17;6;7;11;14;15
18;М;Гетеросексуал;Среднее полное;Москва или Санкт-Петербург;Не женаты/не замужем;Да;нет;17;40;14;4;1;82;11;9;9;13;13;13;14;9;11;3;4;6;6;6;14;19;22;21;0;betrayal;1;interpersonal;7;9;10;9;7;8;14;14;10;12;14;11;8;16;12;14
19;Ж;Гетеросексуал;Неоконченное высшее;Москва или Санкт-Петербург;Не женаты/не замужем;Нет;нет;24;33;23;9;0;39;3;4;11;7;8;3;3;1;3;2;7;4;2;2;35;5;9;12;0;relationship;0;harass;14;3;12;18;4;18;9;10;14;0;16;18;7;16;15;20
